timestamp,latitude,longitude,altitude,speed,course,hacc
1759426885847,13.667236,-89.271435,935.826,6.090,255.100,32.412
1759426886848,13.667252,-89.271487,935.073,7.370,243.100,30.679
1759426887835,13.667171,-89.271745,926.910,7.410,243.700,20.408
1759426888832,13.667133,-89.271845,924.203,7.440,243.200,20.638
1759426889829,13.667077,-89.271987,916.581,7.960,240.300,20.835
1759426890829,13.667029,-89.272052,916.354,7.800,242.800,18.358
1759426892810,13.667057,-89.272192,920.401,7.250,239.200,13.196
1759426893000,13.667001,-89.272211,892.377,7.120,237.900,12.203
1759426894000,13.666969,-89.272286,893.604,7.560,238.700,7.411
1759426895000,13.666910,-89.272352,893.147,8.320,232.500,7.375
1759426896000,13.666842,-89.272408,890.914,8.190,238.400,6.519
1759426897000,13.666791,-89.272482,891.680,8.560,238.700,5.693
1759426898000,13.666733,-89.272548,889.595,8.620,233.600,5.510
1759426899000,13.666694,-89.272624,890.447,8.130,239.400,4.852
1759426900000,13.666646,-89.272692,890.809,7.940,239.200,4.721
1759426901000,13.666598,-89.272751,889.791,7.890,238.100,4.851
1759426902000,13.666559,-89.272807,890.974,7.930,238.000,4.947
1759426903000,13.666515,-89.272872,892.726,8.170,237.900,4.854
1759426904000,13.666465,-89.272939,894.118,8.180,237.100,4.842
1759426905000,13.666427,-89.273001,895.564,7.970,236.900,4.830
1759426906000,13.666386,-89.273063,896.169,7.670,237.200,4.581
1759426907000,13.666349,-89.273124,896.803,7.730,237.400,4.317
1759426908000,13.666310,-89.273190,896.864,7.840,237.700,4.462
1759426909000,13.666265,-89.273256,896.533,8.040,237.200,4.551
1759426910000,13.666220,-89.273321,897.421,8.390,236.200,4.504
1759426911000,13.666175,-89.273389,897.825,8.840,236.100,4.428
1759426912000,13.666131,-89.273459,899.042,9.340,235.800,4.335
1759426913000,13.666074,-89.273533,900.927,9.800,235.100,4.396
1759426914000,13.666020,-89.273608,900.851,10.040,234.800,4.173
1759426915000,13.665966,-89.273685,901.331,10.250,234.400,4.005
1759426916000,13.665908,-89.273767,901.482,10.550,234.500,3.906
1759426917000,13.665851,-89.273849,901.908,10.960,234.100,3.790
1759426918000,13.665790,-89.273933,900.725,11.120,233.400,3.803
1759426919000,13.665721,-89.274021,901.798,11.680,232.700,3.790
1759426920000,13.665661,-89.274109,902.096,11.830,232.500,3.790
1759426921000,13.665594,-89.274195,903.341,12.120,232.300,3.790
1759426922000,13.665523,-89.274284,903.548,12.260,211.600,3.790
1759426923000,13.665470,-89.274372,905.778,12.000,230.800,3.790
1759426924000,13.665412,-89.274459,907.045,11.620,231.500,3.790
1759426925000,13.665357,-89.274536,907.246,9.670,231.600,3.790
1759426926000,13.665301,-89.274606,907.351,9.380,231.200,3.790
1759426927000,13.665252,-89.274671,907.553,8.650,230.800,3.790
1759426928000,13.665206,-89.274728,907.801,7.430,231.000,3.790
1759426929000,13.665161,-89.274772,907.237,7.380,223.100,3.790
1759426930000,13.665118,-89.274823,906.982,7.240,229.300,3.790
1759426931000,13.665082,-89.274874,906.416,6.800,232.200,3.790
1759426932000,13.665039,-89.274924,906.779,6.870,231.900,3.790
1759426933000,13.664998,-89.274974,905.912,7.090,230.200,3.790
1759426934000,13.664955,-89.275022,907.159,8.110,230.100,3.790
1759426935000,13.664918,-89.275072,908.057,8.650,230.700,3.790
1759426936000,13.664874,-89.275127,909.004,8.590,232.000,3.790
1759426937000,13.664830,-89.275185,909.412,8.320,230.900,3.790
1759426938000,13.664789,-89.275255,910.730,8.940,237.500,3.790
1759426939000,13.664742,-89.275312,911.384,8.360,230.900,3.790
1759426940000,13.664705,-89.275369,910.727,8.450,230.300,3.790
1759426941000,13.664660,-89.275433,911.586,8.640,231.300,3.790
1759426942000,13.664615,-89.275492,912.079,8.730,225.900,3.790
1759426943000,13.664569,-89.275559,912.173,9.300,223.200,3.790
1759426944000,13.664511,-89.275631,912.938,10.130,230.500,3.790
1759426945000,13.664454,-89.275706,913.276,10.120,231.500,3.790
1759426946000,13.664392,-89.275781,913.694,10.240,231.300,3.790
1759426947000,13.664331,-89.275854,913.938,10.720,231.000,3.790
1759426948000,13.664270,-89.275935,914.688,11.150,231.500,3.790
1759426949000,13.664210,-89.276014,915.209,11.390,231.000,3.790
1759426950000,13.664146,-89.276097,916.377,11.440,231.000,3.790
1759426951000,13.664087,-89.276178,917.206,11.340,231.300,3.790
1759426952000,13.664026,-89.276263,918.084,11.400,231.500,3.790
1759426953000,13.663955,-89.276349,918.955,11.550,230.900,3.790
1759426954000,13.663887,-89.276434,919.582,11.640,230.900,3.790
1759426955000,13.663823,-89.276518,920.948,11.310,230.800,3.790
1759426956000,13.663762,-89.276594,922.063,10.850,231.000,3.790
1759426957000,13.663704,-89.276675,923.054,10.560,231.100,3.790
1759426958000,13.663651,-89.276748,923.151,10.120,231.400,3.790
1759426959000,13.663605,-89.276814,922.329,9.370,231.300,3.828
1759426960000,13.663555,-89.276877,923.802,8.950,231.200,3.790
1759426961000,13.663511,-89.276934,924.878,8.280,231.300,3.790
1759426962000,13.663468,-89.276988,925.674,7.620,234.000,3.790
1759426963000,13.663432,-89.277047,926.188,7.040,237.900,3.790
1759426964000,13.663396,-89.277097,926.913,6.300,237.800,3.790
1759426965000,13.663367,-89.277141,928.127,5.660,237.800,3.790
1759426966000,13.663338,-89.277184,928.578,5.390,238.300,3.790
1759426967000,13.663318,-89.277230,929.072,5.160,239.500,3.790
1759426968000,13.663296,-89.277267,929.446,5.130,240.900,3.790
1759426969000,13.663276,-89.277307,929.568,4.550,242.000,3.790
